id,recommended_id
12160.0,"[12160.0, 369890.0, 349320.0, 261720.0, 260380.0]"
12150.0,"[498230.0, 416421.0, 290404.0, 624850.0, 282210.0]"
7000.0,"[12160.0, 369890.0, 349320.0, 261720.0, 260380.0]"
12140.0,"[12530.0, 17480.0, 261600.0, 222085.0, 206094.0]"
17480.0,"[17480.0, 233350.0, 299301.0, 369890.0, 239160.0]"
12310.0,"[222607.0, 17300.0, 3610.0, 7660.0, 12510.0]"
12510.0,"[7840.0, 7660.0, 17300.0, 3610.0, 12310.0]"
12530.0,"[17480.0, 233350.0, 299301.0, 369890.0, 239160.0]"
12520.0,"[21300.0, 270550.0, 12520.0, 8690.0, 269050.0]"
8100.0,"[1530.0, 24065.0, 26007.0, 345340.0, 279963.0]"
2780.0,"[2780.0, 283290.0, 27800.0, 273820.0, 266070.0]"
9730.0,"[10600.0, 9730.0, 289570.0, 254700.0, 282520.0]"
9710.0,"[27020.0, 279960.0, 13000.0, 13200.0, 2710.0]"
9800.0,"[27020.0, 279960.0, 13000.0, 13200.0, 2710.0]"
9760.0,"[27020.0, 279960.0, 13000.0, 13200.0, 2710.0]"
2700.0,"[27020.0, 279960.0, 13000.0, 13200.0, 2710.0]"
2710.0,"[27020.0, 279960.0, 13000.0, 13200.0, 2710.0]"
13200.0,"[27020.0, 279960.0, 13000.0, 13200.0, 2710.0]"
13250.0,"[8100.0, 508840.0, 12310.0, 575080.0, 358400.0]"
13000.0,"[27020.0, 279960.0, 13000.0, 13200.0, 2710.0]"
13560.0,"[291610.0, 50920.0, 288900.0, 271964.0, 283490.0]"
13520.0,"[13520.0, 289260.0, 264560.0, 25900.0, 34920.0]"
13240.0,"[294916.0, 294918.0, 331180.0, 21670.0, 45700.0]"
13540.0,"[13520.0, 289260.0, 264560.0, 25900.0, 34920.0]"
15210.0,"[285350.0, 15210.0, 3520.0, 10110.0, 35050.0]"
3520.0,"[285350.0, 15210.0, 3520.0, 10110.0, 35050.0]"
15950.0,"[15950.0, 15910.0, 281604.0, 258590.0, 46410.0]"
15960.0,"[271478.0, 351150.0, 364890.0, 36000.0, 363640.0]"
15900.0,"[15950.0, 15910.0, 281604.0, 258590.0, 46410.0]"
15910.0,"[15900.0, 15950.0, 292420.0, 460780.0, 294750.0]"
15160.0,"[384520.0, 38100.0, 270490.0, 557001.0, 286630.0]"
15920.0,"[15920.0, 293180.0, 295530.0, 283180.0, 15930.0]"
15080.0,"[652200.0, 317833.0, 557390.0, 600230.0, 723110.0]"
15200.0,"[273153.0, 369400.0, 225825.0, 236450.0, 274250.0]"
15320.0,"[256522.0, 333800.0, 705390.0, 16450.0, 591960.0]"
8310.0,"[12600.0, 308310.0, 32500.0, 351700.0, 329040.0]"
12600.0,"[409257.0, 390440.0, 341810.0, 509649.0, 504720.0]"
8320.0,"[305180.0, 102700.0, 307750.0, 8320.0, 42925.0]"
12590.0,"[10520.0, 264340.0, 4000.0, 12360.0, 315510.0]"
12580.0,"[6200.0, 12580.0, 286830.0, 327260.0, 4900.0]"
12560.0,"[6200.0, 12580.0, 286830.0, 327260.0, 4900.0]"
12570.0,"[298180.0, 222632.0, 230840.0, 275530.0, 47540.0]"
10520.0,"[10520.0, 264340.0, 4000.0, 12360.0, 315510.0]"
11260.0,"[305180.0, 102700.0, 307750.0, 8320.0, 42925.0]"
19200.0,"[19200.0, 258850.0, 7770.0, 352130.0, 492391.0]"
15710.0,"[7660.0, 7840.0, 222607.0, 17300.0, 3610.0]"
15700.0,"[211209.0, 263760.0, 253150.0, 57740.0, 327270.0]"
8660.0,"[577620.0, 34279.0, 280830.0, 658600.0, 304030.0]"
7770.0,"[258850.0, 19200.0, 271463.0, 225540.0, 91616.0]"
7660.0,"[17300.0, 7660.0, 261405.0, 12510.0, 12310.0]"
7760.0,"[210072.0, 282530.0, 276430.0, 21100.0, 35310.0]"
20510.0,"[267810.0, 298340.0, 271730.0, 259450.0, 764280.0]"
17330.0,"[7730.0, 17330.0, 20900.0, 268400.0, 590192.0]"
17300.0,"[17300.0, 7660.0, 261405.0, 12510.0, 12310.0]"
7730.0,"[7730.0, 17330.0, 20900.0, 268400.0, 590192.0]"
20900.0,"[268400.0, 7730.0, 278930.0, 17330.0, 287780.0]"
1530.0,"[8100.0, 279963.0, 209100.0, 341700.0, 2520.0]"
8690.0,"[269050.0, 281350.0, 270550.0, 358230.0, 21300.0]"
17120.0,"[258408.0, 251870.0, 271417.0, 271419.0, 246700.0]"
16810.0,"[697930.0, 756070.0, 422160.0, 726500.0, 348340.0]"
21000.0,"[711021.0, 438950.0, 581380.0, 615020.0, 215856.0]"
17140.0,"[550180.0, 348710.0, 614250.0, 552940.0, 401560.0]"
15390.0,"[738260.0, 726480.0, 372670.0, 359780.0, 523110.0]"
21300.0,"[21300.0, 270550.0, 12520.0, 8690.0, 269050.0]"
3050.0,"[40930.0, 65710.0, 256522.0, 468722.0, 204180.0]"
15380.0,"[412930.0, 281410.0, 281820.0, 209160.0, 389160.0]"
19800.0,"[412930.0, 281410.0, 281820.0, 209160.0, 389160.0]"
15370.0,"[412930.0, 281410.0, 281820.0, 209160.0, 389160.0]"
19930.0,"[301460.0, 626200.0, 362360.0, 490680.0, 491510.0]"
15350.0,"[412930.0, 281410.0, 281820.0, 209160.0, 389160.0]"
19810.0,"[19810.0, 249870.0, 361470.0, 342778.0, 325987.0]"
3540.0,"[19810.0, 249870.0, 361470.0, 342778.0, 325987.0]"
22000.0,"[7610.0, 352140.0, 321310.0, 266250.0, 900883.0]"
2820.0,"[562372.0, 730.0, 653960.0, 756870.0, 503720.0]"
18300.0,"[38150.0, 372480.0, 275804.0, 65249.0, 2820.0]"
20200.0,"[316790.0, 336730.0, 622230.0, 419660.0, 548250.0]"
12200.0,"[281511.0, 265190.0, 349320.0, 239160.0, 262590.0]"
256522.0,"[15320.0, 333800.0, 712070.0, 642804.0, 705390.0]"
222569.0,"[286670.0, 284970.0, 34420.0, 358200.0, 316868.0]"
256611.0,"[271474.0, 267652.0, 48800.0, 572700.0, 376956.0]"
256576.0,"[12530.0, 17480.0, 40930.0, 34282.0, 261600.0]"
9480.0,"[617680.0, 277842.0, 406480.0, 405360.0, 17450.0]"
17410.0,"[17410.0, 35000.0, 291710.0, 15970.0, 271730.0]"
18500.0,"[276240.0, 261403.0, 277676.0, 277672.0, 277673.0]"
16450.0,"[15400.0, 18600.0, 445210.0, 704040.0, 649390.0]"
15400.0,"[18600.0, 26005.0, 644310.0, 603940.0, 16450.0]"
18600.0,"[18600.0, 26005.0, 644310.0, 603940.0, 16450.0]"
25830.0,"[301242.0, 307760.0, 368960.0, 489845.0, 736000.0]"
23460.0,"[389270.0, 286810.0, 262490.0, 308268.0, 517761.0]"
10600.0,"[10600.0, 9730.0, 289570.0, 254700.0, 282520.0]"
21010.0,"[22180.0, 13210.0, 12640.0, 34310.0, 389680.0]"
22180.0,"[22180.0, 13210.0, 12640.0, 34310.0, 389680.0]"
13210.0,"[22180.0, 13210.0, 12640.0, 34310.0, 389680.0]"
12640.0,"[21010.0, 22180.0, 13210.0, 34310.0, 389680.0]"
21600.0,"[9310.0, 268121.0, 22410.0, 462250.0, 602590.0]"
27020.0,"[27020.0, 279960.0, 13000.0, 13200.0, 2710.0]"
24740.0,"[529860.0, 359310.0, 71117.0, 265970.0, 342796.0]"
90047.0,"[738000.0, 256539.0, 495510.0, 42140.0, 659630.0]"
26000.0,"[466860.0, 338090.0, 295042.0, 42200.0, 591980.0]"
26005.0,"[15400.0, 18600.0, 709550.0, 385020.0, 677995.0]"
27800.0,"[2780.0, 283290.0, 27800.0, 273820.0, 266070.0]"
9850.0,"[72760.0, 290280.0, 294770.0, 408510.0, 294530.0]"
3600.0,"[3600.0, 281600.0, 322022.0, 273290.0, 12590.0]"
29580.0,"[3600.0, 281600.0, 322022.0, 273290.0, 12590.0]"
29540.0,"[326044.0, 559380.0, 606210.0, 387930.0, 657500.0]"
29570.0,"[354720.0, 397760.0, 271964.0, 283490.0, 215930.0]"
23700.0,"[261680.0, 342812.0, 308180.0, 73181.0, 356140.0]"
1930.0,"[1930.0, 31980.0, 461242.0, 659100.0, 271477.0]"
18470.0,"[1930.0, 31980.0, 461242.0, 659100.0, 271477.0]"
7510.0,"[10100.0, 605321.0, 587200.0, 461690.0, 11040.0]"
22200.0,"[289420.0, 299070.0, 368820.0, 365070.0, 214550.0]"
26007.0,"[24065.0, 8100.0, 345340.0, 31180.0, 289500.0]"
25900.0,"[25900.0, 289260.0, 259381.0, 291640.0, 26007.0]"
16200.0,"[265192.0, 272040.0, 258815.0, 259220.0, 271418.0]"
7840.0,"[15710.0, 222607.0, 17300.0, 3610.0, 12510.0]"
8890.0,"[288850.0, 25809.0, 8880.0, 638270.0, 34500.0]"
8880.0,"[288850.0, 25809.0, 8880.0, 638270.0, 34500.0]"
34500.0,"[288850.0, 25809.0, 8880.0, 638270.0, 34500.0]"
1280.0,"[288850.0, 25809.0, 8880.0, 638270.0, 34500.0]"
10150.0,"[209801.0, 552360.0, 670340.0, 699600.0, 422191.0]"
12470.0,"[285350.0, 15210.0, 3520.0, 10110.0, 35050.0]"
22340.0,"[286480.0, 270490.0, 267490.0, 33990.0, 266230.0]"
22320.0,"[288370.0, 646280.0, 406950.0, 531750.0, 498850.0]"
900883.0,"[290400.0, 352140.0, 7610.0, 22000.0, 321310.0]"
12440.0,"[45750.0, 40340.0, 407080.0, 290403.0, 687390.0]"
32710.0,"[288370.0, 222636.0, 288850.0, 319570.0, 355050.0]"
12460.0,"[288370.0, 290403.0, 521260.0, 370530.0, 759170.0]"
21980.0,"[574400.0, 261680.0, 362760.0, 2420.0, 6200.0]"
31860.0,"[21680.0, 343613.0, 636610.0, 369811.0, 308000.0]"
31900.0,"[268930.0, 731920.0, 405580.0, 331510.0, 260130.0]"
31920.0,"[390379.0, 345680.0, 616090.0, 351890.0, 417461.0]"
31930.0,"[541280.0, 233350.0, 291910.0, 12690.0, 535690.0]"
35800.0,"[35800.0, 31170.0, 492270.0, 509050.0, 498210.0]"
12690.0,"[265193.0, 233350.0, 291910.0, 281511.0, 10140.0]"
31170.0,"[35800.0, 31170.0, 492270.0, 509050.0, 498210.0]"
21660.0,"[115300.0, 284930.0, 21660.0, 275610.0, 216447.0]"
6010.0,"[277675.0, 9420.0, 34180.0, 522980.0, 374360.0]"
6090.0,"[10600.0, 9730.0, 289570.0, 254700.0, 282520.0]"
32310.0,"[22340.0, 693629.0, 290403.0, 290402.0, 375980.0]"
32330.0,"[260330.0, 266390.0, 512250.0, 321800.0, 250050.0]"
32360.0,"[564080.0, 369822.0, 734820.0, 312290.0, 364190.0]"
35310.0,"[7760.0, 210072.0, 282530.0, 276430.0, 21100.0]"
31980.0,"[18470.0, 1930.0, 461242.0, 754200.0, 271477.0]"
31990.0,"[222630.0, 8210.0, 252550.0, 258640.0, 424310.0]"
10140.0,"[362890.0, 349320.0, 345120.0, 378890.0, 358230.0]"
10100.0,"[7510.0, 286520.0, 358250.0, 358180.0, 327640.0]"
10130.0,"[440800.0, 388474.0, 32370.0, 366160.0, 474890.0]"
10110.0,"[285350.0, 15210.0, 3520.0, 10110.0, 35050.0]"
1256.0,"[1256.0, 45300.0, 32430.0, 41900.0, 41800.0]"
10120.0,"[1256.0, 45300.0, 32430.0, 41900.0, 41800.0]"
3610.0,"[17300.0, 277110.0, 12510.0, 12310.0, 7840.0]"
21680.0,"[343613.0, 31860.0, 369811.0, 636610.0, 380231.0]"
21670.0,"[22440.0, 294913.0, 305370.0, 292060.0, 294916.0]"
21030.0,"[436570.0, 390459.0, 293480.0, 334100.0, 400320.0]"
36000.0,"[260060.0, 351150.0, 271478.0, 248350.0, 15960.0]"
32370.0,"[317208.0, 264690.0, 220806.0, 220807.0, 215930.0]"
29180.0,"[38410.0, 254700.0, 307350.0, 35420.0, 32430.0]"
38410.0,"[29180.0, 254700.0, 307350.0, 35420.0, 32430.0]"
38420.0,"[425840.0, 304210.0, 566680.0, 580950.0, 616240.0]"
38430.0,"[278490.0, 38430.0, 305470.0, 210073.0, 23550.0]"
38440.0,"[38440.0, 227000.0, 9900.0, 115110.0, 241680.0]"
35050.0,"[285350.0, 15210.0, 3520.0, 10110.0, 35050.0]"
31180.0,"[281770.0, 262610.0, 26007.0, 264841.0, 274121.0]"
37960.0,"[297140.0, 223730.0, 280720.0, 37960.0, 37400.0]"
38000.0,"[293200.0, 257070.0, 245175.0, 271499.0, 295500.0]"
37400.0,"[297140.0, 223730.0, 280720.0, 37960.0, 37400.0]"
13570.0,"[688630.0, 334390.0, 341260.0, 569190.0, 320388.0]"
34420.0,"[34420.0, 284970.0, 358200.0, 246340.0, 295177.0]"
33730.0,"[301245.0, 57620.0, 369890.0, 262590.0, 299301.0]"
35000.0,"[35000.0, 298340.0, 306398.0, 17410.0, 15970.0]"
39391.0,"[39391.0, 3230.0, 358420.0, 39540.0, 40700.0]"
24029.0,"[273740.0, 283350.0, 91100.0, 250720.0, 62100.0]"
32140.0,"[38180.0, 285310.0, 427790.0, 239160.0, 36300.0]"
31190.0,"[270870.0, 590217.0, 532610.0, 451950.0, 716200.0]"
32770.0,"[41500.0, 32770.0, 249105.0, 263020.0, 8880.0]"
208306.0,"[332210.0, 494440.0, 39560.0, 39540.0, 514740.0]"
37300.0,"[285350.0, 15210.0, 3520.0, 10110.0, 35050.0]"
208300.0,"[543240.0, 408510.0, 617420.0, 599840.0, 359090.0]"
40300.0,"[200620.0, 737920.0, 491160.0, 436604.0, 375510.0]"
35070.0,"[261401.0, 354930.0, 264220.0, 500211.0, 730510.0]"
10606.0,"[282400.0, 40700.0, 3230.0, 674390.0, 630470.0]"
40700.0,"[10606.0, 282400.0, 3230.0, 674390.0, 630470.0]"
24840.0,"[1280.0, 22633.0, 25809.0, 34842.0, 294904.0]"
24870.0,"[57300.0, 294970.0, 343320.0, 228180.0, 373190.0]"
41500.0,"[41500.0, 32770.0, 249105.0, 263020.0, 8880.0]"
24800.0,"[358260.0, 24800.0, 299290.0, 297940.0, 279600.0]"
42800.0,"[34178.0, 528610.0, 601530.0, 34282.0, 549650.0]"
39550.0,"[80207.0, 372700.0, 369980.0, 346850.0, 348300.0]"
40330.0,"[289760.0, 352580.0, 393040.0, 378270.0, 385580.0]"
40320.0,"[31200.0, 12110.0, 2840.0, 644480.0, 271471.0]"
31200.0,"[31200.0, 12110.0, 2840.0, 644480.0, 271471.0]"
3130.0,"[39391.0, 3230.0, 358420.0, 39540.0, 40700.0]"
41100.0,"[264520.0, 280220.0, 222094.0, 288880.0, 47930.0]"
39540.0,"[358420.0, 275530.0, 332210.0, 514740.0, 108710.0]"
34640.0,"[363430.0, 428020.0, 415900.0, 718840.0, 700350.0]"
34630.0,"[437590.0, 725610.0, 398120.0, 376935.0, 316290.0]"
42200.0,"[591980.0, 295042.0, 520390.0, 622240.0, 466170.0]"
41000.0,"[115300.0, 98210.0, 21660.0, 275610.0, 284930.0]"
40340.0,"[12440.0, 407080.0, 45750.0, 290403.0, 687390.0]"
37100.0,"[200440.0, 71163.0, 290970.0, 255390.0, 281580.0]"
37500.0,"[42810.0, 29120.0, 10180.0, 279602.0, 303780.0]"
42810.0,"[42810.0, 29120.0, 10180.0, 279602.0, 303780.0]"
10180.0,"[42810.0, 29120.0, 10180.0, 279602.0, 303780.0]"
32440.0,"[10120.0, 1256.0, 357320.0, 614582.0, 496434.0]"
11450.0,"[41050.0, 536490.0, 446110.0, 661950.0, 669000.0]"
12710.0,"[507440.0, 531650.0, 509670.0, 648120.0, 318080.0]"
29120.0,"[42810.0, 29120.0, 10180.0, 279602.0, 303780.0]"
24810.0,"[292410.0, 271500.0, 329000.0, 277679.0, 429950.0]"
41800.0,"[45300.0, 35420.0, 41800.0, 32430.0, 1256.0]"
45300.0,"[45300.0, 35420.0, 41800.0, 32430.0, 1256.0]"
41900.0,"[45300.0, 35420.0, 41800.0, 32430.0, 1256.0]"
35420.0,"[45300.0, 35420.0, 41800.0, 32430.0, 1256.0]"
32430.0,"[45300.0, 35420.0, 41800.0, 32430.0, 1256.0]"
41802.0,"[401270.0, 310360.0, 438450.0, 606490.0, 550900.0]"
38080.0,"[405190.0, 358320.0, 282400.0, 4570.0, 358410.0]"
38090.0,"[325590.0, 253150.0, 15700.0, 704010.0, 317080.0]"
38100.0,"[376730.0, 535690.0, 15160.0, 410050.0, 8200.0]"
38210.0,"[294230.0, 34010.0, 202181.0, 18040.0, 210943.0]"
45700.0,"[288790.0, 331180.0, 261160.0, 22440.0, 305370.0]"
46410.0,"[301248.0, 301246.0, 45300.0, 32430.0, 41900.0]"
38110.0,"[299280.0, 312210.0, 274900.0, 298260.0, 211207.0]"
38130.0,"[278490.0, 38430.0, 305470.0, 210073.0, 23550.0]"
38160.0,"[468735.0, 243442.0, 529430.0, 369808.0, 297920.0]"
38150.0,"[18300.0, 275804.0, 372480.0, 318300.0, 267600.0]"
38140.0,"[57655.0, 257870.0, 317832.0, 107200.0, 453980.0]"
36300.0,"[12520.0, 262590.0, 345120.0, 291910.0, 280910.0]"
36310.0,"[227600.0, 546890.0, 207660.0, 334420.0, 511200.0]"
36320.0,"[653570.0, 414660.0, 541760.0, 295560.0, 306410.0]"
37030.0,"[362490.0, 409160.0, 244910.0, 356950.0, 366550.0]"
32450.0,"[285350.0, 15210.0, 3520.0, 10110.0, 35050.0]"
34180.0,"[9420.0, 6010.0, 277675.0, 304030.0, 12150.0]"
44100.0,"[390416.0, 405032.0, 501900.0, 430940.0, 368830.0]"
46250.0,"[264802.0, 12180.0, 292840.0, 38180.0, 269290.0]"
38180.0,"[427790.0, 32140.0, 285310.0, 239160.0, 369890.0]"
41050.0,"[11450.0, 536490.0, 446110.0, 358380.0, 358390.0]"
24055.0,"[24055.0, 358330.0, 358380.0, 358340.0, 358390.0]"
48700.0,"[97364.0, 338830.0, 97371.0, 332010.0, 281346.0]"
39900.0,"[901399.0, 42120.0, 296170.0, 49900.0, 49600.0]"
49900.0,"[43500.0, 49900.0, 12220.0, 49600.0, 45730.0]"
42120.0,"[49900.0, 49600.0, 43500.0, 901399.0, 296170.0]"
12220.0,"[43500.0, 49900.0, 12220.0, 49600.0, 45730.0]"
45730.0,"[43500.0, 49900.0, 12220.0, 49600.0, 45730.0]"
45400.0,"[43500.0, 49900.0, 12220.0, 49600.0, 45730.0]"
49600.0,"[43500.0, 49900.0, 12220.0, 49600.0, 45730.0]"
901399.0,"[43500.0, 49900.0, 12220.0, 49600.0, 45730.0]"
43500.0,"[43500.0, 49900.0, 12220.0, 49600.0, 45730.0]"
45302.0,"[464525.0, 767400.0, 720850.0, 72500.0, 745710.0]"
23150.0,"[682520.0, 695960.0, 321180.0, 647430.0, 679040.0]"
50920.0,"[50920.0, 288900.0, 13560.0, 291610.0, 265690.0]"
34178.0,"[405730.0, 715080.0, 42800.0, 549750.0, 297970.0]"
37340.0,"[24640.0, 37370.0, 12120.0, 294922.0, 42920.0]"
37390.0,"[206094.0, 568590.0, 328920.0, 49000.0, 19030.0]"
37310.0,"[664180.0, 631130.0, 721146.0, 659510.0, 674450.0]"
37360.0,"[24640.0, 37370.0, 12120.0, 294922.0, 42920.0]"
49000.0,"[49000.0, 42960.0, 19030.0, 37320.0, 37380.0]"
37330.0,"[286636.0, 108110.0, 42920.0, 37340.0, 50620.0]"
37320.0,"[49000.0, 42960.0, 19030.0, 37320.0, 37380.0]"
37370.0,"[24640.0, 37370.0, 12120.0, 294922.0, 42920.0]"
37380.0,"[49000.0, 42960.0, 19030.0, 37320.0, 37380.0]"
31700.0,"[49000.0, 42960.0, 19030.0, 37320.0, 37380.0]"
19030.0,"[49000.0, 42960.0, 19030.0, 37320.0, 37380.0]"
50820.0,"[261401.0, 354930.0, 283430.0, 327530.0, 279600.0]"
49800.0,"[315010.0, 296050.0, 48137.0, 457520.0, 517292.0]"
901478.0,"[296150.0, 297330.0, 290320.0, 294966.0, 200230.0]"
34274.0,"[498230.0, 422110.0, 624850.0, 282210.0, 260250.0]"
34275.0,"[280740.0, 700350.0, 447990.0, 340270.0, 207710.0]"
34277.0,"[426430.0, 461933.0, 384270.0, 662210.0, 589790.0]"
34273.0,"[360092.0, 741420.0, 385760.0, 654050.0, 238303.0]"
34280.0,"[42980.0, 301880.0, 34280.0, 316444.0, 316445.0]"
34278.0,"[262080.0, 245550.0, 358350.0, 258815.0, 271418.0]"
34282.0,"[63900.0, 24634.0, 24075.0, 73170.0, 299280.0]"
34279.0,"[297793.0, 292720.0, 577620.0, 450700.0, 9420.0]"
34010.0,"[294230.0, 34010.0, 202181.0, 18040.0, 210943.0]"
22610.0,"[22610.0, 46480.0, 322021.0, 333640.0, 302570.0]"
22440.0,"[305370.0, 21670.0, 294913.0, 292060.0, 294916.0]"
18508.0,"[274920.0, 593340.0, 560941.0, 211204.0, 297791.0]"
22430.0,"[297140.0, 223730.0, 280720.0, 37960.0, 37400.0]"
22410.0,"[48136.0, 511160.0, 57655.0, 401560.0, 258970.0]"
22420.0,"[360098.0, 404216.0, 376360.0, 278640.0, 35425.0]"
630.0,"[291190.0, 211207.0, 211203.0, 34345.0, 65252.0]"
22400.0,"[22400.0, 24780.0, 33670.0, 270941.0, 25962.0]"
24780.0,"[22400.0, 24780.0, 33670.0, 270941.0, 25962.0]"
33670.0,"[22400.0, 24780.0, 33670.0, 270941.0, 25962.0]"
40420.0,"[328310.0, 265930.0, 315510.0, 302260.0, 278360.0]"
34920.0,"[314680.0, 331066.0, 92300.0, 297514.0, 24449.0]"
48136.0,"[314170.0, 224300.0, 328280.0, 285730.0, 56438.0]"
46720.0,"[415750.0, 391720.0, 408050.0, 319840.0, 338201.0]"
28000.0,"[294927.0, 201882.0, 333700.0, 212010.0, 320383.0]"
39680.0,"[39680.0, 305260.0, 225825.0, 38740.0, 55347.0]"
25962.0,"[22400.0, 24780.0, 33670.0, 270941.0, 25962.0]"
24634.0,"[24634.0, 63900.0, 312210.0, 274900.0, 298260.0]"
63900.0,"[24634.0, 63900.0, 312210.0, 274900.0, 298260.0]"
50130.0,"[303780.0, 446830.0, 46480.0, 22610.0, 302570.0]"
24075.0,"[24634.0, 63900.0, 312210.0, 274900.0, 298260.0]"
