developer,item_id,posted_year,count
"Firaxis Games,Aspyr (Mac, Linux)",8930,2011,2
"Firaxis Games,Aspyr (Mac, Linux)",8930,2012,2
"Firaxis Games,Aspyr (Mac, Linux)",8930,2013,42
"Firaxis Games,Aspyr (Mac, Linux)",8930,2014,120
"Firaxis Games,Aspyr (Mac, Linux)",8930,2015,53
Vigil Games,50620,2012,1
Vigil Games,50620,2013,2
Vigil Games,50620,2014,1
Vigil Games,50620,2015,2
Triumph Studios,61500,2011,1
Electronic Arts,47790,2013,2
Electronic Arts,47790,2014,1
Electronic Arts,47790,2015,1
"CAPCOM CO., LTD.",45750,2014,1
Obsidian Entertainment,22380,2010,1
Obsidian Entertainment,22380,2011,3
Obsidian Entertainment,22380,2012,4
Obsidian Entertainment,22380,2013,17
Obsidian Entertainment,22380,2014,40
Obsidian Entertainment,22380,2015,38
Aspyr Studios,32500,2011,1
Aspyr Studios,32500,2013,1
Firemint,62000,2011,1
Gaijin Games,63700,2013,1
Treyarch,42700,2011,5
Treyarch,42700,2012,1
Treyarch,42700,2013,2
Treyarch,42700,2014,11
Treyarch,42700,2015,6
Oddworld Inhabitants,15750,2014,1
Oddworld Inhabitants,15750,2015,3
Telltale Games,31290,2012,1
Telltale Games,31290,2013,1
Telltale Games,31290,2014,1
Telltale Games,31290,2015,1
Rockstar Games,12100,2013,1
Rockstar Games,12100,2014,2
Rockstar Games,12100,2015,1
Rockstar Games,12120,2012,2
Rockstar Games,12120,2013,4
Rockstar Games,12120,2014,7
Rockstar Games,12120,2015,5
Rockstar Games,12110,2014,3
Rockstar Games,12110,2015,5
Extend Studio,92300,2011,1
BlueGiant Interactive,80000,2011,1
Visceral Games,47780,2013,1
Uber Entertainment,63200,2011,1
The Sims Studio,47890,2013,2
The Sims Studio,47890,2014,5
Reality Pump Studios,7520,2012,1
Reality Pump Studios,7520,2013,1
Reality Pump Studios,7520,2014,1
Eden Studios,9930,2014,2
Eden Studios,9930,2015,3
Gaijin Games,63710,2011,2
Gaijin Games,63710,2013,2
Gaijin Games,63710,2014,3
Gaijin Games,63710,2015,3
"Kaos Studios,Digital Extremes",55100,2014,2
"Kaos Studios,Digital Extremes",55100,2015,2
Trion Worlds,39120,2011,3
Trion Worlds,39120,2013,10
Trion Worlds,39120,2014,9
Trion Worlds,39120,2015,2
Stout Games,94000,2012,1
Stout Games,94000,2013,1
Stout Games,94000,2014,2
Martin Ivanov,73170,2013,1
800 North and Digital Ranch,70000,2013,9
800 North and Digital Ranch,70000,2014,10
800 North and Digital Ranch,70000,2015,1
Valve,620,2011,20
Valve,620,2012,19
Valve,620,2013,52
Valve,620,2014,102
Valve,620,2015,48
Coffee Stain Studios,91600,2014,5
1C:InoCo,73020,2013,1
Mode 7,98200,2011,2
Mode 7,98200,2013,1
Mode 7,98200,2014,6
Mode 7,98200,2015,1
inXile Entertainment,22450,2015,1
Fatshark,42140,2013,1
Obsidian Entertainment,39160,2012,1
Obsidian Entertainment,39160,2013,1
Gearbox Software,57900,2011,3
Gearbox Software,57900,2013,1
Gearbox Software,57900,2014,5
Red Duck Inc.,102700,2013,1
Red Duck Inc.,102700,2015,2
Cryptic Studios,9880,2011,1
Cryptic Studios,9880,2014,1
Grey Havens,99900,2011,4
Grey Havens,99900,2012,3
Grey Havens,99900,2013,20
Grey Havens,99900,2014,45
Grey Havens,99900,2015,13
Stainless Games Ltd,49470,2014,2
Murudai,97000,2012,1
Murudai,97000,2013,2
Murudai,97000,2014,3
Day 1 Studios,21100,2013,1
Day 1 Studios,21100,2014,2
Day 1 Studios,21100,2015,1
Telltale Games,94590,2014,1
Bohemia Interactive,65790,2014,3
Haemimont Games,57690,2012,2
Haemimont Games,57690,2013,2
Haemimont Games,57690,2014,10
Haemimont Games,57690,2015,4
Two Tribes,38740,2013,2
Two Tribes,38740,2014,2
MinMax Games Ltd.,107200,2011,1
MinMax Games Ltd.,107200,2013,1
MinMax Games Ltd.,107200,2014,2
Three Rings,99910,2011,1
Three Rings,99910,2012,1
Three Rings,99910,2015,1
Relic,55150,2011,2
Relic,55150,2012,1
Relic,55150,2013,1
Relic,55150,2015,2
Flying Wild Hog,98400,2011,1
Flying Wild Hog,98400,2013,2
Flying Wild Hog,98400,2014,2
Tripwire Interactive,35450,2011,3
Tripwire Interactive,35450,2012,5
Tripwire Interactive,35450,2013,16
Tripwire Interactive,35450,2014,21
Tripwire Interactive,35450,2015,11
Paradox Development Studio,73210,2011,1
Blackhole,48220,2012,1
Gas Powered Games,9420,2012,1
Gas Powered Games,9420,2013,1
Gas Powered Games,9420,2014,5
Gas Powered Games,9420,2015,2
Edmund McMillen and Florian Himsl,113200,2011,1
Edmund McMillen and Florian Himsl,113200,2012,9
Edmund McMillen and Florian Himsl,113200,2013,29
Edmund McMillen and Florian Himsl,113200,2014,76
Edmund McMillen and Florian Himsl,113200,2015,7
1C-Avalon,200230,2014,1
Gas Powered Games,9350,2013,1
Gas Powered Games,9350,2014,2
Capcom Vancouver,45770,2014,1
Double Fine Productions,115100,2014,1
Double Fine Productions,115100,2015,1
"Vlambeer,Croteam",201480,2015,1
Iridium Studios,200910,2011,1
Iridium Studios,200910,2015,1
Daybreak Game Company,24200,2011,2
Daybreak Game Company,24200,2012,4
Daybreak Game Company,24200,2013,8
Daybreak Game Company,24200,2014,26
Daybreak Game Company,24200,2015,5
Volition,55370,2011,1
Volition,55370,2012,1
Volition,55370,2014,1
Devil's Details,71340,2012,1
Devil's Details,71340,2014,1
Devil's Details,71340,2015,3
"Team Bondi,Rockstar Leeds",110800,2012,1
"Team Bondi,Rockstar Leeds",110800,2013,5
"Team Bondi,Rockstar Leeds",110800,2014,2
"Team Bondi,Rockstar Leeds",110800,2015,5
Cipher Prime Studios,61310,2013,1
Stardock Entertainment,202200,2012,1
Stardock Entertainment,202200,2013,1
Stardock Entertainment,202200,2014,1
Reloaded Productions,113400,2011,2
Reloaded Productions,113400,2012,2
Reloaded Productions,113400,2013,11
Reloaded Productions,113400,2014,20
Reloaded Productions,113400,2015,15
"Vicious Cycle Software, Inc.",23530,2014,1
Egosoft,201310,2015,1
Frozenbyte,35720,2013,7
Frozenbyte,35720,2014,12
Frozenbyte,35720,2015,3
Lionhead Studios,204030,2014,7
Lionhead Studios,204030,2015,1
Croteam,204340,2014,3
Croteam,204340,2015,1
Cryptic Studios,9900,2013,4
Cryptic Studios,9900,2014,7
Cryptic Studios,9900,2015,4
Puppygames,203210,2014,2
Paradox Development Studio,203770,2012,1
Paradox Development Studio,203770,2013,5
Paradox Development Studio,203770,2014,14
Paradox Development Studio,203770,2015,7
Remedy Entertainment,108710,2012,4
Remedy Entertainment,108710,2013,6
Remedy Entertainment,108710,2014,5
Remedy Entertainment,108710,2015,1
Trashmasters,10220,2014,1
Wild Shadow Studios,200210,2012,12
Wild Shadow Studios,200210,2013,14
Wild Shadow Studios,200210,2014,44
Wild Shadow Studios,200210,2015,23
"UBIart Montpellier,Feral Interactive (Mac)",207490,2012,1
"UBIart Montpellier,Feral Interactive (Mac)",207490,2013,1
Grey Havens,206521,2014,1
Strange Loop Games,108500,2015,1
Cobra Mobile,206690,2013,1
Double Fine Productions,115110,2014,1
Trickstar Games,207790,2015,1
3 Sprockets,207250,2012,2
3 Sprockets,207250,2013,1
3 Sprockets,207250,2014,1
3 Sprockets,207250,2015,1
Eden Industries,204180,2015,3
Trapdoor Inc.,102850,2012,1
BUGBEAR,202310,2013,1
BUGBEAR,202310,2014,1
Piranha Bytes,40390,2012,1
Piranha Bytes,40390,2014,1
Devil's Details,203750,2013,1
Devil's Details,203750,2014,2
Love Conquers All Games,209370,2012,1
Love Conquers All Games,209370,2013,1
Love Conquers All Games,209370,2014,2
Love Conquers All Games,209370,2015,1
Signal Studios,98300,2012,1
Slant Six Games,209100,2014,1
Days of Wonder,108200,2015,1
Nihon Falcom,207350,2014,1
Rockstar Studios,204100,2012,4
Rockstar Studios,204100,2013,6
Rockstar Studios,204100,2014,12
Rockstar Studios,204100,2015,2
"Standing Stone Games, LLC",212500,2012,1
"Standing Stone Games, LLC",212500,2013,1
"Standing Stone Games, LLC",212500,2014,7
"Standing Stone Games, LLC",212500,2015,3
BlinkWorks Media,207080,2012,1
BlinkWorks Media,207080,2013,1
BlinkWorks Media,207080,2014,2
TT Games,213330,2012,1
TT Games,213330,2014,2
TT Games,213330,2015,1
Nexon,212160,2013,1
Nexon,212160,2014,6
Nexon,212160,2015,6
Daedalic Entertainment,203830,2014,2
"Standing Stone Games, LLC",206480,2013,1
"Standing Stone Games, LLC",206480,2014,1
"Ubisoft Paris,Red Storm Entertainment",212630,2013,1
Airtight Games,200010,2012,3
Hi-Rez Studios,17080,2012,6
Hi-Rez Studios,17080,2013,8
Hi-Rez Studios,17080,2014,9
Hi-Rez Studios,17080,2015,8
Valve,1840,2012,3
Valve,1840,2013,9
Valve,1840,2014,34
Valve,1840,2015,18
Misfits Attic,207650,2014,2
Tennen-sozai,207400,2013,1
Robot Entertainment,209270,2012,1
Robot Entertainment,209270,2014,1
Valve,730,2012,11
Valve,730,2013,118
Valve,730,2014,694
Valve,730,2015,932
United Front Games,202170,2013,14
United Front Games,202170,2014,20
United Front Games,202170,2015,2
"Obsidian Entertainment,Aspyr (Mac, Linux, &amp; Windows Update)",208580,2013,2
"Obsidian Entertainment,Aspyr (Mac, Linux, &amp; Windows Update)",208580,2014,2
"Obsidian Entertainment,Aspyr (Mac, Linux, &amp; Windows Update)",208580,2015,5
Eyebrow Interactive,72000,2012,1
Eyebrow Interactive,72000,2013,1
"Rocksteady Studios,Feral Interactive (Mac)",200260,2013,18
"Rocksteady Studios,Feral Interactive (Mac)",200260,2014,19
"Rocksteady Studios,Feral Interactive (Mac)",200260,2015,12
Freebird Games,206440,2012,2
Freebird Games,206440,2013,1
Freebird Games,206440,2014,23
Freebird Games,206440,2015,7
Aleksey Abramenko,214970,2013,1
Capybara Games,61730,2014,1
Blit Software,205950,2015,1
Frogwares,205650,2014,1
Frogwares,205650,2015,2
Bohemia Interactive,65740,2014,1
Data Realms,209670,2013,1
Data Realms,209670,2014,4
Data Realms,209670,2015,1
id Software,208200,2012,1
id Software,208200,2013,1
id Software,208200,2014,2
id Software,208200,2015,1
Ubisoft - San Francisco,205190,2014,2
Daedalic Entertainment,219910,2013,1
2x2 Games,218090,2014,1
Lukewarm Media,215470,2012,2
Lukewarm Media,215470,2013,5
Lukewarm Media,215470,2014,7
Lukewarm Media,215470,2015,4
Dennaton Games,219150,2012,1
Dennaton Games,219150,2013,20
Dennaton Games,219150,2014,31
Dennaton Games,219150,2015,21
Muse Games,209080,2013,6
Muse Games,209080,2014,33
Muse Games,209080,2015,15
Running With Scissors,223470,2013,4
Running With Scissors,223470,2014,15
Running With Scissors,223470,2015,15
Neko Entertainment,222140,2014,1
Treyarch,202970,2013,7
Treyarch,202970,2014,46
Treyarch,202970,2015,10
IonFx,223510,2013,1
NEXON Korea Corp.,212200,2014,1
NEXON Korea Corp.,212200,2015,2
Reality Pump,224900,2014,1
Ascaron,225640,2015,1
Subatomic Studios LLC,215710,2015,1
Born Ready Games Ltd.,209540,2013,3
Born Ready Games Ltd.,209540,2014,1
Double Fine Productions,221810,2013,1
Double Fine Productions,221810,2014,1
NAMCO,228400,2014,3
Ninja Theory,220440,2013,4
Ninja Theory,220440,2014,3
Ninja Theory,220440,2015,5
Futuremark,223850,2015,2
Focus Home Interactive,231140,2013,1
Focus Home Interactive,231140,2015,1
Megadev,224820,2013,2
Megadev,224820,2014,1
Megadev,224820,2015,1
"Radial Games Corp,Dejobaan Games, LLC",226740,2013,2
"Radial Games Corp,Dejobaan Games, LLC",226740,2014,2
"Radial Games Corp,Dejobaan Games, LLC",226740,2015,1
24 Caret Games,222660,2014,1
"Redlynx Ltd,Ubisoft  Shanghaï",220160,2013,2
"Redlynx Ltd,Ubisoft  Shanghaï",220160,2014,3
"Redlynx Ltd,Ubisoft  Shanghaï",220160,2015,1
Running With Scissors,232770,2015,1
Capcom,221040,2014,2
Capcom,221040,2015,3
Shiro Games,233470,2013,1
Shiro Games,233470,2014,4
Shiro Games,233470,2015,1
"Eric Chahi,DotEmu",233550,2014,1
Artifice Studio,227220,2014,2
3 Sprockets,228440,2015,1
Minority Media Inc.,227080,2014,2
Bossa Studios,233720,2013,19
Bossa Studios,233720,2014,27
Bossa Studios,233720,2015,4
Old School Games,227480,2013,1
Old School Games,227480,2014,3
Snowbird Games,232050,2014,1
Spiders,232750,2014,1
Telltale Games,234710,2013,8
Telltale Games,234710,2014,9
Telltale Games,234710,2015,5
Zero Sum Games,220660,2015,1
Adam Foster,235780,2014,1
Adam Foster,235780,2015,3
Coffee Stain Studios,210770,2013,5
Coffee Stain Studios,210770,2014,20
Coffee Stain Studios,210770,2015,5
Abbey Games,222730,2013,6
Abbey Games,222730,2014,3
Abbey Games,222730,2015,1
DONTNOD Entertainment,228300,2013,4
DONTNOD Entertainment,228300,2014,4
DONTNOD Entertainment,228300,2015,3
Nival,235360,2013,1
Behold Studios,231740,2014,3
"Gearbox Software,Aspyr (Mac &amp; Linux)",218550,2015,1
"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",231430,2013,8
"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",231430,2014,27
"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",231430,2015,15
"NetherRealm Studios,High Voltage Software",237110,2013,1
"NetherRealm Studios,High Voltage Software",237110,2014,5
"NetherRealm Studios,High Voltage Software",237110,2015,2
Ian Campbell,239800,2013,2
Ian Campbell,239800,2014,3
Ian Campbell,239800,2015,1
Dragonfly,239660,2013,7
Dragonfly,239660,2014,11
Dragonfly,239660,2015,4
Nadeo,243360,2015,1
General Arcade,225160,2013,1
Square Enix,39140,2013,6
Square Enix,39140,2014,8
Square Enix,39140,2015,5
"Firaxis Games,Aspyr (Mac, Linux)",235580,2014,1
"Firaxis Games,Aspyr (Mac, Linux)",235580,2015,3
Two Tribes,201420,2013,1
Two Tribes,201420,2014,1
KING Art,233370,2013,1
Ludosity,241320,2014,1
Harebrained Schemes,234650,2013,3
Harebrained Schemes,234650,2014,3
Harebrained Schemes,234650,2015,1
Zen Studios,241410,2014,1
17-BIT,228960,2014,1
17-BIT,228960,2015,1
MercurySteam - Climax Studios,234080,2013,1
Interceptor Entertainment,217140,2013,3
Interceptor Entertainment,217140,2014,2
Pwnee Studios,210870,2014,1
Eagle Dynamics SA,223770,2014,1
Threaks,231040,2014,1
WayForward,237630,2013,2
WayForward,237630,2014,2
Team17 Digital Ltd,233840,2014,1
Full Control Studios,242570,2013,3
Michael Todd Games,244870,2013,6
Michael Todd Games,244870,2014,6
Michael Todd Games,244870,2015,1
Spark Unlimited,226720,2014,2
Spark Unlimited,226720,2015,2
"Double Eleven,Q-Games Ltd.",243780,2014,1
Witch Beam,250110,2015,3
Might and Delight,244710,2014,3
U.S. Army,203290,2013,3
U.S. Army,203290,2014,8
U.S. Army,203290,2015,1
Greenheart Games,239820,2013,18
Greenheart Games,239820,2014,35
Greenheart Games,239820,2015,14
Priority Interrupt,249630,2014,4
Priority Interrupt,249630,2015,1
Red Barrels,238320,2013,4
Red Barrels,238320,2014,23
Red Barrels,238320,2015,8
Santa Ragione,231310,2013,1
"SEGA Studios Australia,Feral Interactive (Mac)",227600,2014,1
Zachtronics,226960,2013,2
"Mediatonic,The Irregular Corporation",244810,2014,1
North of Earth,248350,2013,1
North of Earth,248350,2014,1
FreakZone Games,237740,2013,1
FreakZone Games,237740,2014,3
Zootfly,249680,2014,2
Tate Multimedia,243450,2014,3
"Mine Loader Software Co., Ltd.",236450,2014,7
"Mine Loader Software Co., Ltd.",236450,2015,6
5th Cell Media,249870,2013,2
5th Cell Media,249870,2014,1
5th Cell Media,249870,2015,2
CI Games,217920,2014,1
"Mine Loader Software Co., Ltd.",246255,2015,1
MagicalTimeBean,251370,2013,1
Giants Software,220260,2013,6
Giants Software,220260,2014,3
Giants Software,220260,2015,1
Poppermost Productions,244930,2013,1
Poppermost Productions,244930,2014,4
Poppermost Productions,244930,2015,7
Galactic Cafe,221910,2013,19
Galactic Cafe,221910,2014,40
Galactic Cafe,221910,2015,7
Studio Bean,247140,2014,1
Telltale Games,250320,2013,12
Telltale Games,250320,2014,33
Telltale Games,250320,2015,7
ClockStone,250460,2014,2
Carlsen Games,242820,2014,4
Carlsen Games,242820,2015,1
sparsevector,250500,2013,1
sparsevector,250500,2014,5
sparsevector,250500,2015,2
"Eidos Montreal,Feral Interactive (Mac)",238010,2013,1
"Eidos Montreal,Feral Interactive (Mac)",238010,2014,11
"Eidos Montreal,Feral Interactive (Mac)",238010,2015,6
"Monochrome, Inc",238430,2013,2
"Monochrome, Inc",238430,2014,23
Blue Isle Studios,252330,2014,3
Blue Isle Studios,252330,2015,1
Deep Silver Volition,247298,2015,1
Modern Dream,246580,2014,4
Modern Dream,246580,2015,1
Rising Star Games,247660,2015,1
Undead Labs,241540,2013,11
Undead Labs,241540,2014,37
Undead Labs,241540,2015,5
Transhuman Design,219830,2013,9
Transhuman Design,219830,2014,10
Transhuman Design,219830,2015,6
