target_game_id,similar_game_ids
3838.0,"[2, 3, 4, 5, 8]"
3839.0,"[2, 3, 4, 5, 8]"
3900.0,"[136, 156, 308, 422, 453]"
3910.0,"[45, 77, 90, 92, 122]"
3920.0,"[138, 147, 149, 207, 374]"
3960.0,"[45, 77, 90, 92, 122]"
3980.0,"[78, 83, 84, 85, 128]"
3990.0,"[45, 77, 90, 92, 122]"
4000.0,"[1592, 2518, 3149, 3233, 4012]"
4100.0,"[893, 1679, 1714, 1895, 2316]"
4230.0,"[249, 7980, 17868, 19293, 12510]"
4290.0,"[89, 145, 543, 1004, 2783]"
4300.0,"[176, 508, 531, 557, 690]"
4420.0,"[138, 147, 149, 207, 374]"
4460.0,"[593, 595, 598, 688, 689]"
4470.0,"[138, 147, 149, 207, 374]"
4500.0,"[217, 261, 474, 721, 785]"
4520.0,"[152, 184, 481, 527, 1103]"
4530.0,"[152, 184, 481, 527, 1103]"
4560.0,"[1744, 5543, 18590, 15705, 1746]"
4570.0,"[155, 273, 276, 885, 995]"
4580.0,"[155, 273, 276, 885, 995]"
4700.0,"[136, 156, 308, 422, 453]"
4720.0,"[24, 48, 49, 58, 270]"
4760.0,"[78, 83, 84, 85, 128]"
4770.0,"[45, 77, 90, 92, 122]"
4780.0,"[5758, 14652, 14929, 17200, 154]"
4800.0,"[43, 161, 274, 275, 356]"
4850.0,"[45, 77, 90, 92, 122]"
4856.0,"[1078, 1079, 1080, 1143, 1146]"
4870.0,"[45, 77, 90, 92, 122]"
4880.0,"[45, 77, 90, 92, 122]"
4890.0,"[45, 77, 90, 92, 122]"
4920.0,"[167, 1569, 1595, 1616, 1682]"
6000.0,"[6, 7, 9, 11, 12]"
6010.0,"[172, 288, 753, 755, 803]"
6020.0,"[6, 7, 9, 11, 12]"
6030.0,"[6, 7, 9, 11, 12]"
6040.0,"[172, 288, 753, 755, 803]"
6060.0,"[6, 7, 9, 11, 12]"
6080.0,"[18807, 19035, 5028, 13122, 4055]"
6090.0,"[201, 227, 649, 710, 759]"
6120.0,"[176, 508, 531, 557, 690]"
6200.0,"[45, 77, 90, 92, 122]"
6210.0,"[45, 77, 90, 92, 122]"
6220.0,"[250, 252, 10080, 16647, 16703]"
6250.0,"[1160, 1828, 1829, 3790, 3807]"
6300.0,"[7029, 17053, 15038, 15039, 16128]"
6310.0,"[209, 1046, 1886, 2615, 3969]"
6370.0,"[183, 462, 564, 1263, 1689]"
6400.0,"[152, 184, 481, 527, 1103]"
6420.0,"[1967, 2467, 3003, 3623, 4538]"
6510.0,"[230, 348, 511, 1022, 2092]"
6550.0,"[20, 21, 28, 68, 69]"
6800.0,"[2, 3, 4, 5, 8]"
6810.0,"[2, 3, 4, 5, 8]"
6830.0,"[2, 3, 4, 5, 8]"
6840.0,"[2, 3, 4, 5, 8]"
6850.0,"[192, 194, 195, 196, 197]"
6860.0,"[199, 3033, 3891, 15943, 20005]"
6870.0,"[192, 194, 195, 196, 197]"
6880.0,"[192, 194, 195, 196, 197]"
6900.0,"[192, 194, 195, 196, 197]"
6910.0,"[192, 194, 195, 196, 197]"
6920.0,"[192, 194, 195, 196, 197]"
6980.0,"[199, 3033, 3891, 15943, 20005]"
7000.0,"[2583, 2584, 3055, 3069, 3070]"
7010.0,"[201, 227, 649, 710, 759]"
7020.0,"[6, 7, 9, 11, 12]"
7110.0,"[561, 562, 1032, 1430, 3015]"
7200.0,"[3905, 10221, 15096, 18521, 144]"
7210.0,"[206, 242, 243, 319, 321]"
7220.0,"[206, 242, 243, 319, 321]"
7260.0,"[138, 147, 149, 207, 374]"
7340.0,"[419, 427, 703, 716, 934]"
7510.0,"[209, 1046, 1886, 2615, 3969]"
7520.0,"[473, 534, 568, 650, 717]"
7530.0,"[78, 83, 84, 85, 128]"
7600.0,"[78, 83, 84, 85, 128]"
7610.0,"[78, 83, 84, 85, 128]"
7620.0,"[45, 77, 90, 92, 122]"
7650.0,"[45, 77, 90, 92, 122]"
7660.0,"[45, 77, 90, 92, 122]"
7670.0,"[217, 261, 474, 721, 785]"
7730.0,"[45, 77, 90, 92, 122]"
7760.0,"[45, 77, 90, 92, 122]"
7770.0,"[45, 77, 90, 92, 122]"
7830.0,"[45, 77, 90, 92, 122]"
7840.0,"[251, 1108, 5500, 10079, 10081]"
7860.0,"[2, 3, 4, 5, 8]"
7940.0,"[20, 21, 28, 68, 69]"
8000.0,"[228, 5705, 15461, 380, 389]"
8080.0,"[192, 194, 195, 196, 197]"
8100.0,"[201, 227, 649, 710, 759]"
8140.0,"[228, 5705, 15461, 380, 389]"
8170.0,"[6116, 18224, 151, 152, 184]"
8190.0,"[230, 348, 511, 1022, 2092]"
8200.0,"[231, 232, 233, 234, 235]"
8210.0,"[231, 232, 233, 234, 235]"
8220.0,"[231, 232, 233, 234, 235]"
8230.0,"[231, 232, 233, 234, 235]"
8240.0,"[231, 232, 233, 234, 235]"
8250.0,"[231, 232, 233, 234, 235]"
8260.0,"[238, 239, 240, 241, 245]"
8270.0,"[238, 239, 240, 241, 245]"
8280.0,"[238, 239, 240, 241, 245]"
8290.0,"[238, 239, 240, 241, 245]"
8300.0,"[238, 239, 240, 241, 245]"
8310.0,"[206, 242, 243, 319, 321]"
8320.0,"[206, 242, 243, 319, 321]"
8330.0,"[851, 3411, 4619, 5035, 5547]"
8340.0,"[238, 239, 240, 241, 245]"
8400.0,"[871, 6158, 9672, 9890, 9951]"
8500.0,"[6300, 7233, 21717, 21952, 8440]"
8600.0,"[1107, 1109, 1110, 2118, 12224]"
8650.0,"[249, 7980, 17868, 19293, 12510]"
8660.0,"[252, 10080, 16647, 16703, 179]"
8690.0,"[251, 1108, 5500, 10079, 10081]"
8780.0,"[252, 10080, 16647, 16703, 179]"
8790.0,"[1111, 10232, 10490, 11378, 11956]"
8800.0,"[78, 83, 84, 85, 128]"
8850.0,"[20, 21, 28, 68, 69]"
8870.0,"[1056, 1127, 1247, 1271, 1449]"
8880.0,"[258, 628, 630, 674, 1140]"
8890.0,"[258, 628, 630, 674, 1140]"
8930.0,"[461, 1313, 1793, 1811, 1812]"
8970.0,"[332, 655, 809, 1243, 1453]"
8980.0,"[217, 261, 474, 721, 785]"
8990.0,"[262, 351, 373, 524, 533]"
9000.0,"[57, 74, 263, 265, 266]"
9010.0,"[2, 3, 4, 5, 8]"
9030.0,"[57, 74, 263, 265, 266]"
9040.0,"[57, 74, 263, 265, 266]"
9050.0,"[2, 3, 4, 5, 8]"
9060.0,"[2, 3, 4, 5, 8]"
9070.0,"[57, 74, 263, 265, 266]"
9160.0,"[48, 49, 58, 270, 300]"
9180.0,"[2, 3, 4, 5, 8]"
9200.0,"[6, 7, 9, 11, 12]"
9310.0,"[155, 273, 276, 885, 995]"
9350.0,"[43, 161, 274, 275, 356]"
9420.0,"[43, 161, 274, 275, 356]"
9450.0,"[155, 273, 276, 885, 995]"
9460.0,"[20, 21, 28, 68, 69]"
9480.0,"[6, 7, 9, 11, 12]"
9500.0,"[36, 279, 552, 623, 704]"
9710.0,"[6, 7, 9, 11, 12]"
9760.0,"[57, 74, 263, 265, 266]"
9800.0,"[563, 575, 706, 1006, 1124]"
9850.0,"[1021, 1336, 2214, 3519, 4812]"
9880.0,"[285, 971, 1759, 1810, 1981]"
9900.0,"[285, 971, 1759, 1810, 1981]"
9930.0,"[354, 641, 647, 1192, 1203]"
9940.0,"[1327, 1838, 1839, 2222, 2256]"
9960.0,"[172, 288, 753, 755, 803]"
9970.0,"[6, 7, 9, 11, 12]"
9980.0,"[813, 904, 905, 922, 923]"
9992.0,"[451, 877, 878, 2472, 2576]"
10090.0,"[20, 21, 28, 68, 69]"
10100.0,"[238, 239, 240, 241, 245]"
10110.0,"[238, 239, 240, 241, 245]"
10120.0,"[1939, 6208, 6488, 18118, 14572]"
10130.0,"[20, 21, 28, 68, 69]"
10140.0,"[4699, 5809, 10670, 16122, 17173]"
10150.0,"[231, 232, 233, 234, 235]"
10180.0,"[20, 21, 28, 68, 69]"
10195.0,"[48, 49, 58, 270, 300]"
10220.0,"[6782, 8460, 9158, 9203, 10577]"
10230.0,"[1155, 1156, 1161, 2768, 3144]"
10240.0,"[731, 732, 733, 734, 735]"
10250.0,"[305, 1560, 1561, 1562, 1563]"
10260.0,"[305, 1560, 1561, 1562, 1563]"
10270.0,"[306, 465, 621, 629, 1216]"
10460.0,"[48, 49, 58, 270, 300]"
10500.0,"[136, 156, 308, 422, 453]"
10600.0,"[310, 312, 313, 454, 455]"
10604.0,"[310, 312, 313, 454, 455]"
10606.0,"[78, 83, 84, 85, 128]"
10607.0,"[310, 312, 313, 454, 455]"
10608.0,"[310, 312, 313, 454, 455]"
10680.0,"[48, 49, 58, 270, 300]"
10695.0,"[316, 16, 18, 29, 30]"
10697.0,"[316, 16, 18, 29, 30]"
11020.0,"[15842, 2784, 2785, 2786, 2787]"
11040.0,"[323, 758, 3608, 5966, 14002]"
11050.0,"[206, 242, 243, 319, 321]"
11130.0,"[14513, 10715, 17318, 20500, 6796]"
11140.0,"[206, 242, 243, 319, 321]"
11150.0,"[206, 242, 243, 319, 321]"
11190.0,"[323, 758, 3608, 5966, 14002]"
11200.0,"[6, 7, 9, 11, 12]"
11230.0,"[11844, 16753, 16754, 20748, 5716]"
11240.0,"[1548, 1596, 1827, 2619, 2634]"
11250.0,"[328, 463, 8905, 11654, 12125]"
11260.0,"[328, 463, 8905, 11654, 12125]"
11280.0,"[1340, 5812, 6984, 7143, 11304]"
11330.0,"[330, 383, 491, 541, 713]"
11340.0,"[513, 694, 707, 898, 1025]"
11360.0,"[332, 655, 809, 1243, 1453]"
11450.0,"[333, 570, 571, 572, 573]"
11480.0,"[45, 77, 90, 92, 122]"
11560.0,"[45, 77, 90, 92, 122]"
11590.0,"[614, 615, 863, 1115, 1149]"
11610.0,"[2459, 3062, 3844, 4027, 4299]"
11900.0,"[363, 367, 369, 370, 414]"
11920.0,"[1467, 7678, 8061, 9477, 12001]"
12100.0,"[6, 7, 9, 11, 12]"
12110.0,"[6, 7, 9, 11, 12]"
12120.0,"[48, 49, 58, 270, 300]"
12130.0,"[6, 7, 9, 11, 12]"
12140.0,"[6, 7, 9, 11, 12]"
12150.0,"[6, 7, 9, 11, 12]"
12160.0,"[346, 365, 371, 372, 549]"
12180.0,"[23, 27, 347, 480, 1282]"
12200.0,"[230, 348, 511, 1022, 2092]"
12220.0,"[20, 21, 28, 68, 69]"
12310.0,"[1760, 4550, 6524, 5493, 17417]"
12320.0,"[262, 351, 373, 524, 533]"
12330.0,"[6, 7, 9, 11, 12]"
12340.0,"[206, 242, 243, 319, 321]"
12360.0,"[354, 641, 647, 1192, 1203]"
12390.0,"[48, 49, 58, 270, 300]"
12420.0,"[43, 161, 274, 275, 356]"
12430.0,"[96, 97, 98, 99, 100]"
12440.0,"[861, 1397, 1425, 1486, 3857]"
12450.0,"[206, 242, 243, 319, 321]"
12460.0,"[45, 77, 90, 92, 122]"
12470.0,"[45, 77, 90, 92, 122]"
12480.0,"[78, 83, 84, 85, 128]"
12500.0,"[363, 367, 369, 370, 414]"
12510.0,"[78, 83, 84, 85, 128]"
12520.0,"[346, 365, 371, 372, 549]"
12530.0,"[426, 6886, 17580, 20800, 3079]"
12540.0,"[363, 367, 369, 370, 414]"
12560.0,"[377, 404, 407, 408, 409]"
12570.0,"[363, 367, 369, 370, 414]"
12580.0,"[363, 367, 369, 370, 414]"
12590.0,"[346, 365, 371, 372, 549]"
12600.0,"[346, 365, 371, 372, 549]"
12630.0,"[262, 351, 373, 524, 533]"
12640.0,"[138, 147, 149, 207, 374]"
12650.0,"[376, 810, 811, 812, 2621]"
12660.0,"[376, 810, 811, 812, 2621]"
12670.0,"[377, 404, 407, 408, 409]"
12710.0,"[138, 147, 149, 207, 374]"
12770.0,"[138, 147, 149, 207, 374]"
12790.0,"[389, 391, 396, 400, 403]"
12810.0,"[138, 147, 149, 207, 374]"
12830.0,"[6, 7, 9, 11, 12]"
13000.0,"[330, 383, 491, 541, 713]"
13200.0,"[48, 49, 58, 270, 300]"
13210.0,"[20, 21, 28, 68, 69]"
13230.0,"[48, 49, 58, 270, 300]"
13240.0,"[6, 7, 9, 11, 12]"
13250.0,"[6, 7, 9, 11, 12]"
13500.0,"[389, 391, 396, 400, 403]"
13520.0,"[6, 7, 9, 11, 12]"
13530.0,"[389, 391, 396, 400, 403]"
13540.0,"[6, 7, 9, 11, 12]"
13560.0,"[6, 7, 9, 11, 12]"
13570.0,"[6, 7, 9, 11, 12]"
13580.0,"[6, 7, 9, 11, 12]"
13600.0,"[389, 391, 396, 400, 403]"
13620.0,"[2, 3, 4, 5, 8]"
13630.0,"[2, 3, 4, 5, 8]"
15000.0,"[6, 7, 9, 11, 12]"
15080.0,"[389, 391, 396, 400, 403]"
15100.0,"[231, 232, 233, 234, 235]"
15120.0,"[6, 7, 9, 11, 12]"
15130.0,"[389, 391, 396, 400, 403]"
15160.0,"[377, 404, 407, 408, 409]"
15170.0,"[78, 83, 84, 85, 128]"
15190.0,"[6, 7, 9, 11, 12]"
15200.0,"[377, 404, 407, 408, 409]"
15210.0,"[377, 404, 407, 408, 409]"
15240.0,"[377, 404, 407, 408, 409]"
15270.0,"[6, 7, 9, 11, 12]"
15300.0,"[6, 7, 9, 11, 12]"
15310.0,"[78, 83, 84, 85, 128]"
15320.0,"[377, 404, 407, 408, 409]"
15350.0,"[363, 367, 369, 370, 414]"
15370.0,"[78, 83, 84, 85, 128]"
15380.0,"[78, 83, 84, 85, 128]"
15390.0,"[6, 7, 9, 11, 12]"
15400.0,"[1788, 3169, 3852, 5956, 6680]"
15500.0,"[419, 427, 703, 716, 934]"
15520.0,"[1604, 3792, 4048, 4424, 4592]"
15522.0,"[993, 1588, 1589, 1590, 1851]"
15620.0,"[136, 156, 308, 422, 453]"
15700.0,"[424, 843, 852, 5583, 6454]"
15710.0,"[424, 843, 852, 5583, 6454]"
15740.0,"[597, 4364, 3079, 6715, 6889]"
15750.0,"[426, 6886, 17580, 20800, 3079]"
15800.0,"[419, 427, 703, 716, 934]"
15900.0,"[363, 367, 369, 370, 414]"
15910.0,"[363, 367, 369, 370, 414]"
15920.0,"[363, 367, 369, 370, 414]"
15930.0,"[363, 367, 369, 370, 414]"
15950.0,"[363, 367, 369, 370, 414]"
15960.0,"[363, 367, 369, 370, 414]"
15970.0,"[363, 367, 369, 370, 414]"
16000.0,"[363, 367, 369, 370, 414]"
16020.0,"[363, 367, 369, 370, 414]"
16030.0,"[363, 367, 369, 370, 414]"
16040.0,"[363, 367, 369, 370, 414]"
16060.0,"[363, 367, 369, 370, 414]"
16100.0,"[441, 442, 443, 444, 445]"
16110.0,"[441, 442, 443, 444, 445]"
16120.0,"[441, 442, 443, 444, 445]"
16130.0,"[441, 442, 443, 444, 445]"
16180.0,"[441, 442, 443, 444, 445]"
16200.0,"[441, 442, 443, 444, 445]"
16450.0,"[48, 49, 58, 270, 300]"
16465.0,"[538, 8173, 1856, 2284, 2301]"
16500.0,"[1328, 2141, 2310, 3828, 4066]"
16600.0,"[16144, 18758, 10138, 8021, 21074]"
16620.0,"[21074, 8021, 449, 16144, 18758]"
16710.0,"[451, 877, 878, 2472, 2576]"
16720.0,"[2, 3, 4, 5, 8]"
16810.0,"[136, 156, 308, 422, 453]"
16860.0,"[310, 312, 313, 454, 455]"
16861.0,"[310, 312, 313, 454, 455]"
16862.0,"[310, 312, 313, 454, 455]"
16863.0,"[310, 312, 313, 454, 455]"
16866.0,"[45, 77, 90, 92, 122]"
16867.0,"[858, 1162, 1388, 1465, 2458]"
16868.0,"[45, 77, 90, 92, 122]"
16870.0,"[461, 1313, 1793, 1811, 1812]"
17080.0,"[183, 462, 564, 1263, 1689]"
17100.0,"[328, 463, 8905, 11654, 12125]"
17120.0,"[1337, 1338, 1339, 1972, 1973]"
17140.0,"[306, 465, 621, 629, 1216]"
17180.0,"[78, 83, 84, 85, 128]"
17300.0,"[20, 21, 28, 68, 69]"
17330.0,"[20, 21, 28, 68, 69]"
17390.0,"[472, 611, 612, 631, 632]"
17410.0,"[231, 232, 233, 234, 235]"
17430.0,"[886, 1577, 1722, 4357, 11465]"
17440.0,"[472, 611, 612, 631, 632]"
17450.0,"[473, 534, 568, 650, 717]"
17460.0,"[217, 261, 474, 721, 785]"
17470.0,"[20, 21, 28, 68, 69]"
17480.0,"[136, 156, 308, 422, 453]"
17500.0,"[479, 1030, 2127, 2152, 2471]"
17530.0,"[1610, 4240, 9621, 868, 1116]"
17570.0,"[479, 1030, 2127, 2152, 2471]"
17700.0,"[23, 27, 347, 480, 1282]"
17710.0,"[152, 184, 481, 527, 1103]"
17730.0,"[6745, 18760, 12246, 17029, 5683]"
17740.0,"[5470, 6044, 6709, 7346, 7391]"
18000.0,"[485, 6717, 7662, 14946, 17133]"
18020.0,"[485, 6717, 7662, 14946, 17133]"
18040.0,"[487, 1706, 3523, 3651, 3823]"
18050.0,"[487, 1706, 3523, 3651, 3823]"
18070.0,"[2129, 3034, 3182, 3754, 8276]"
18080.0,"[3948, 20626, 3947, 12408, 17479]"
18120.0,"[1368, 1376, 1571, 3113, 8941]"
18300.0,"[330, 383, 491, 541, 713]"
18400.0,"[495, 496, 1787, 2089, 3008]"
18407.0,"[841, 1846, 1847, 1947, 1948]"
18408.0,"[494, 497, 544, 842, 1546]"
18420.0,"[495, 496, 1787, 2089, 3008]"
18430.0,"[495, 496, 1787, 2089, 3008]"
18440.0,"[494, 497, 544, 842, 1546]"
18470.0,"[78, 83, 84, 85, 128]"
18480.0,"[206, 242, 243, 319, 321]"
18500.0,"[34, 35, 500, 507, 580]"
18508.0,"[502, 503, 504, 1789, 7027]"
18509.0,"[502, 503, 504, 1789, 7027]"
18520.0,"[502, 503, 504, 1789, 7027]"
18521.0,"[502, 503, 504, 1789, 7027]"
18522.0,"[506, 1009, 1011, 1012, 1579]"
18523.0,"[506, 1009, 1011, 1012, 1579]"
18600.0,"[34, 35, 500, 507, 580]"
18700.0,"[176, 508, 531, 557, 690]"
18820.0,"[9847, 12450, 21979, 12455, 9774]"
19000.0,"[5193, 12492, 14645, 18119, 5624]"
19030.0,"[230, 348, 511, 1022, 2092]"
19080.0,"[1353, 3150, 3499, 3500, 16048]"
19200.0,"[513, 694, 707, 898, 1025]"
19320.0,"[1241, 4150, 4234, 4430, 4912]"
19500.0,"[715, 930, 1017, 1495, 1553]"
19800.0,"[6, 7, 9, 11, 12]"
19810.0,"[6, 7, 9, 11, 12]"
19830.0,"[6, 7, 9, 11, 12]"
19900.0,"[6, 7, 9, 11, 12]"
19930.0,"[136, 156, 308, 422, 453]"
19980.0,"[389, 391, 396, 400, 403]"
20200.0,"[9858, 7772, 9535, 10335, 4744]"
20500.0,"[20, 21, 28, 68, 69]"
20510.0,"[262, 351, 373, 524, 533]"
20530.0,"[6, 7, 9, 11, 12]"
20540.0,"[136, 156, 308, 422, 453]"
20550.0,"[152, 184, 481, 527, 1103]"
20570.0,"[136, 156, 308, 422, 453]"
20700.0,"[530, 2526, 4597, 9033, 9035]"
20710.0,"[530, 2526, 4597, 9033, 9035]"
20820.0,"[176, 508, 531, 557, 690]"
20828.0,"[1031, 1055, 1601, 1663, 2131]"
20900.0,"[262, 351, 373, 524, 533]"
20920.0,"[473, 534, 568, 650, 717]"
21000.0,"[231, 232, 233, 234, 235]"
21010.0,"[2, 3, 4, 5, 8]"
21030.0,"[2, 3, 4, 5, 8]"
21090.0,"[538, 8173, 1856, 2284, 2301]"
21100.0,"[20, 21, 28, 68, 69]"
21130.0,"[231, 232, 233, 234, 235]"
21300.0,"[330, 383, 491, 541, 713]"
21400.0,"[1830, 9746, 15595, 3553, 4557]"
21500.0,"[89, 145, 543, 1004, 2783]"
21640.0,"[494, 497, 544, 842, 1546]"
21660.0,"[20, 21, 28, 68, 69]"
21670.0,"[389, 391, 396, 400, 403]"
21680.0,"[6, 7, 9, 11, 12]"
21690.0,"[231, 232, 233, 234, 235]"
21780.0,"[346, 365, 371, 372, 549]"
21800.0,"[78, 83, 84, 85, 128]"
21980.0,"[6, 7, 9, 11, 12]"
22000.0,"[36, 279, 552, 623, 704]"
22100.0,"[1752, 3016, 3282, 3524, 3736]"
22120.0,"[556, 892, 1034, 1690, 1691]"
22130.0,"[43, 161, 274, 275, 356]"
22180.0,"[556, 892, 1034, 1690, 1691]"
22200.0,"[176, 508, 531, 557, 690]"
22230.0,"[19310, 11550, 18469, 8390, 16966]"
22300.0,"[138, 147, 149, 207, 374]"
22310.0,"[2, 3, 4, 5, 8]"
22320.0,"[561, 562, 1032, 1430, 3015]"
22330.0,"[561, 562, 1032, 1430, 3015]"
22340.0,"[563, 575, 706, 1006, 1124]"
22350.0,"[183, 462, 564, 1263, 1689]"
22361.0,"[566, 601, 602, 603, 701]"
22363.0,"[566, 601, 602, 603, 701]"
22364.0,"[57, 74, 263, 265, 266]"
22370.0,"[473, 534, 568, 650, 717]"
22380.0,"[262, 351, 373, 524, 533]"
22400.0,"[333, 570, 571, 572, 573]"
22410.0,"[333, 570, 571, 572, 573]"
22420.0,"[333, 570, 571, 572, 573]"
22430.0,"[333, 570, 571, 572, 573]"
22440.0,"[333, 570, 571, 572, 573]"
22450.0,"[563, 575, 706, 1006, 1124]"
22470.0,"[1512, 1513, 1533, 2235, 3037]"
22500.0,"[78, 83, 84, 85, 128]"
22510.0,"[78, 83, 84, 85, 128]"
22520.0,"[78, 83, 84, 85, 128]"
22521.0,"[34, 35, 500, 507, 580]"
22600.0,"[136, 156, 308, 422, 453]"
22610.0,"[6, 7, 9, 11, 12]"
